
buffet_name,ingredient,quantity,unit
Mexican Buffet (Lunch),Chicken,350.0,g
Mexican Buffet (Lunch),Mustard,5.0,g
Mexican Buffet (Lunch),Black pepper,5.0,g
Mexican Buffet (Lunch),Soya Sauce,10.0,g
Mexican Buffet (Lunch),Garlic,10.0,g
Mexican Buffet (Lunch),Rosmery,5.0,g
Mexican Buffet (Lunch),Flour,500.0,g
Mexican Buffet (Lunch),Yeast,5.0,g
Mexican Buffet (Lunch),Oil,100.0,ml
Mexican Buffet (Lunch),Cheese,150.0,g
Mexican Buffet (Lunch),Salt,5.0,g
Mexican Buffet (Lunch),Rice,300.0,g
Mexican Buffet (Lunch),Onion,100.0,g
Mexican Buffet (Lunch),Leek,50.0,g
Mexican Buffet (Lunch),Celery,20.0,g
Mexican Buffet (Lunch),Berbera,5.0,g
Mexican Buffet (Lunch),Rozmery,5.0,g
Mexican Buffet (Lunch),Coriandor,5.0,g
Mexican Buffet (Lunch),Sweetcorn,100.0,g
Mexican Buffet (Lunch),Beans,100.0,g
Mexican Buffet (Lunch),Knor,1.0,pc
Mexican Buffet (Lunch),Oil,50.0,ml
Mexican Buffet (Lunch),Turmeric,5.0,g
Mexican Buffet (Lunch),Cumin,5.0,g
Mexican Buffet (Lunch),Tomato,150.0,g
Mexican Buffet (Lunch),Flour,250.0,g
Mexican Buffet (Lunch),Yeast,5.0,g
Mexican Buffet (Lunch),Carrot,100.0,g
Mexican Buffet (Lunch),Zucchin,50.0,g
Mexican Buffet (Lunch),Cauliflower,100.0,g
Mexican Buffet (Lunch),Broccoli,50.0,g
Mexican Buffet (Lunch),Paprica,100.0,g
Mexican Buffet (Lunch),Onion,50.0,g
Mexican Buffet (Lunch),Leek,50.0,g
Mexican Buffet (Lunch),Tomato,300.0,g
Mexican Buffet (Lunch),Cheese,150.0,g
Mexican Buffet (Lunch),Black pepper,5.0,g
Mexican Buffet (Lunch),Tomato,400.0,g
Mexican Buffet (Lunch),Onion,100.0,g
Mexican Buffet (Lunch),Green pepper,20.0,g
Mexican Buffet (Lunch),Pursly,10.0,g
Mexican Buffet (Lunch),Lemon,50.0,g
Mexican Buffet (Lunch),Oil,10.0,ml
Mexican Buffet (Lunch),Mint,5.0,g
Mexican Buffet (Lunch),Avocado,850.0,g
Mexican Buffet (Lunch),Tomato,150.0,g
Mexican Buffet (Lunch),Green pepper,20.0,g
Mexican Buffet (Lunch),Lemon,50.0,g
Mexican Buffet (Lunch),Black pepper,5.0,g
Mexican Buffet (Lunch),Salt,5.0,g
Mexican Buffet (Lunch),Coriandor,5.0,g
Mexican Buffet (Lunch),Tomato,150.0,g
Mexican Buffet (Lunch),Onion,100.0,g
Mexican Buffet (Lunch),Pimento,100.0,g
Mexican Buffet (Lunch),Cucumber,150.0,g
Mexican Buffet (Lunch),Avocado,300.0,g
Mexican Buffet (Lunch),Beans,200.0,g
Mexican Buffet (Lunch),Salad,150.0,g
Mexican Buffet (Lunch),Olive oil,50.0,ml
Mexican Buffet (Lunch),Honey,10.0,g
Mexican Buffet (Lunch),Mustard,10.0,g
Mexican Buffet (Lunch),Lemon/Vinegar,50.0,ml
Mexican Buffet (Lunch),Black Pepper,5.0,g
Mexican Buffet (Lunch),Flour,500.0,g
Mexican Buffet (Lunch),Yeast,5.0,g
Mexican Buffet (Lunch),Salt,5.0,g
Mexican Buffet (Lunch),Oil,20.0,ml
Mexican Buffet (Lunch),Coffee,40.0,g
Mexican Buffet (Lunch),Tea,5.0,g
Mexican Buffet (Lunch),Ginger,50.0,g
Mexican Buffet (Dinner),Leek,50.0,g
Mexican Buffet (Dinner),Celery,20.0,g
Mexican Buffet (Dinner),Onion,100.0,g
Mexican Buffet (Dinner),Tomato,1.0,kg
Mexican Buffet (Dinner),Tomato pest,20.0,g
Mexican Buffet (Dinner),Ginger,20.0,g
Mexican Buffet (Dinner),Garlic,10.0,g
Mexican Buffet (Dinner),Knor,1.0,pc
Mexican Buffet (Dinner),Beans,300.0,g
Mexican Buffet (Dinner),Salad,150.0,g
Mexican Buffet (Dinner),Tomato,200.0,g
Mexican Buffet (Dinner),Purple cabbage,100.0,g
Mexican Buffet (Dinner),Carrot,50.0,g
Mexican Buffet (Dinner),Pimento,100.0,g
Mexican Buffet (Dinner),Mustard,10.0,g
Mexican Buffet (Dinner),Oil,20.0,ml
Mexican Buffet (Dinner),Vinegar,20.0,ml
Mexican Buffet (Dinner),Honey,5.0,g
Mexican Buffet (Dinner),Salt,5.0,g
Mexican Buffet (Dinner),Black pepper,5.0,g
Mexican Buffet (Dinner),Rice,300.0,g
Mexican Buffet (Dinner),Onion,100.0,g
Mexican Buffet (Dinner),Leek,50.0,g
Mexican Buffet (Dinner),Celery,20.0,g
Mexican Buffet (Dinner),Garlic,10.0,g
Mexican Buffet (Dinner),Berbera,5.0,g
Mexican Buffet (Dinner),Rozmery,5.0,g
Mexican Buffet (Dinner),Coriandor,5.0,g
Mexican Buffet (Dinner),Sweetcorn,100.0,g
Mexican Buffet (Dinner),Beans,100.0,g
Mexican Buffet (Dinner),Knor,1.0,pack
Mexican Buffet (Dinner),Oil,50.0,ml
Mexican Buffet (Dinner),Turmeric,5.0,g
Mexican Buffet (Dinner),Cumin,5.0,g
Mexican Buffet (Dinner),Tomato,150.0,g
Mexican Buffet (Dinner),Chicken,350.0,g
Mexican Buffet (Dinner),Mustard,5.0,g
Mexican Buffet (Dinner),Black pepper,5.0,g
Mexican Buffet (Dinner),Soya Sauce,10.0,g
Mexican Buffet (Dinner),Garlic,10.0,g
Mexican Buffet (Dinner),Rosmery,5.0,g
Mexican Buffet (Dinner),Flour,500.0,g
Mexican Buffet (Dinner),Yeast,5.0,g
Mexican Buffet (Dinner),Oil,100.0,g
Mexican Buffet (Dinner),Cheese,150.0,g
Mexican Buffet (Dinner),Salt,5.0,g
Mexican Buffet (Dinner),Tomato,400.0,g
Mexican Buffet (Dinner),Onion,100.0,g
Mexican Buffet (Dinner),Green pepper,20.0,g
Mexican Buffet (Dinner),Pursly,10.0,g
Mexican Buffet (Dinner),Garlic,10.0,g
Mexican Buffet (Dinner),Lemon,50.0,g
Mexican Buffet (Dinner),Salt,5.0,g
Mexican Buffet (Dinner),Black pepper,5.0,g
Mexican Buffet (Dinner),Oil,10.0,ml
Mexican Buffet (Dinner),Mint,5.0,g
Mexican Buffet (Dinner),Flour,500.0,g
Mexican Buffet (Dinner),Yeast,5.0,g
Mexican Buffet (Dinner),Salt,5.0,g
Mexican Buffet (Dinner),Oil,20.0,ml
Indian Buffet (Lunch),Chicken,300.0,g
