item,category,unit,quantity,reorder_level
Onion,Produce,kg,30,6.0
Tomato,Produce,kg,20,5.0
Carrot,Produce,kg,5,2.0
Potato,Produce,kg,10,3.0
Cucumber,Produce,kg,2,1.0
Broccoli,Produce,pc,4,2.0
Cauliflower,Produce,pc,0,2.0
Spinach,Produce,pc,2,1.0
Chinese salad,Produce,pc,2,1.0
Green Salad,Produce,pc,0,1.0
Roll Cabbage,Produce,pc,4,2.0
Leek,Produce,pc,2,1.0
Parsley,Produce,pc,0,1.0
Coriander,Produce,pc,2,1.0
Ginger,Produce,kg,2,0.5
Garlic,Produce,kg,2,0.5
Green Pepper,Produce,pc,0,1.0
Purple Cabbage,Produce,pc,0,1.0
Beetroot,Produce,kg,5,2.0
Pumpkin,Produce,pc,0,1.0
Celery,Produce,pc,2,1.0
Eggplant,Produce,pc,0,1.0
Cherry Tomato,Produce,pc,0,1.0
Basil,Produce,pc,0,1.0
Pimento,Produce,pc,0,1.0
French Bean,Produce,pc,0,1.0
Mint,Produce,pc,0,1.0
Thyme,Produce,pc,0,1.0
Lemon Grass,Produce,pc,0,1.0
Zucchini,Produce,pc,0,1.0
Kosta,Produce,pc,2,1.0
Orange,Produce,kg,8,2.0
Banana,Produce,kg,5,2.0
Mango,Produce,kg,5,2.0
Watermelon,Produce,pc,5,2.0
Avocado,Produce,kg,8,2.0
Papaya,Produce,kg,5,2.0
Pineapple,Produce,pc,10,3.0
Lemon,Produce,kg,3,1.0
Dates,Produce,kg,0,1.0
Strawberry,Produce,kg,10,3.0
Mustard,Spices & Condiments,pc,5,2.0
Curry powder,Spices & Condiments,pc,0,1.0
Fish Masala,Spices & Condiments,pc,0,1.0
Chicken Masala,Spices & Condiments,pc,0,1.0
Beef Masala,Spices & Condiments,pc,0,1.0
Vegetable Masala,Spices & Condiments,pc,0,1.0
Rosemary,Spices & Condiments,pc,0,1.0
Red Chill Powder,Spices & Condiments,pc,0,1.0
White Pepper,Spices & Condiments,pc,0,1.0
Black pepper,Spices & Condiments,pc,0,1.0
Sesame Seed,Spices & Condiments,pc,0,1.0
Cumin,Spices & Condiments,kg,2,0.5
Turmeric,Spices & Condiments,pc,0,1.0
Cinnamon,Spices & Condiments,pc,0,1.0
Miser,Spices & Condiments,pc,0,1.0
Ater kik,Spices & Condiments,pc,0,1.0
Defn Miser,Spices & Condiments,pc,0,1.0
Red Boleke,Spices & Condiments,pc,0,1.0
White Boleke,Spices & Condiments,pc,0,1.0
Big Boleke,Spices & Condiments,pc,0,1.0
Kinche,Spices & Condiments,pc,0,1.0
Telba,Spices & Condiments,pc,0,1.0
Tosgn,Spices & Condiments,pc,0,1.0
Korerima,Spices & Condiments,pc,0,1.0
Sweet corn,Spices & Condiments,pc,0,1.0
Small Candy,Spices & Condiments,pc,0,1.0
Candle,Spices & Condiments,pc,0,1.0
Chickpeas,Spices & Condiments,pc,0,1.0
Sufe,Spices & Condiments,pc,0,1.0
Egg,Dairy & Eggs,pc,200,50.0
Butter,Dairy & Eggs,kg,3,1.0
Yogurt,Dairy & Eggs,pc,8,2.0
Mozzorela Cheese,Dairy & Eggs,pc,0,1.0
Provolone cheese,Dairy & Eggs,pc,0,1.0
Milk,Dairy & Eggs,pc,10,3.0
Table Butter,Dairy & Eggs,pc,20,5.0
Cheery Cheese,Dairy & Eggs,pc,0,1.0
Chill Cheese,Dairy & Eggs,pc,0,1.0
Beef Steak,Dairy & Eggs,pc,0,1.0
Chicken Breast,Dairy & Eggs,pc,0,1.0
Minced beef,Dairy & Eggs,pc,0,1.0
Nile pearch,Dairy & Eggs,pc,10,3.0
Tuna,Dairy & Eggs,pc,0,1.0
Fish,Dairy & Eggs,pc,0,1.0
Tofu,Dairy & Eggs,pc,0,1.0
Olive Cheese,Dairy & Eggs,pc,0,1.0
Tomato Ketchup,Dairy & Eggs,pc,0,1.0
Tea Leaf,Dairy & Eggs,pc,0,1.0
Knor,Dairy & Eggs,pc,0,1.0
Cornflour,Dairy & Eggs,pc,0,1.0
Ketchup,Dairy & Eggs,pc,0,1.0
Balsamic,Dairy & Eggs,pc,0,1.0
Soya sauce Dark,Other,pc,0,1.0
Soya sauce light,Other,pc,0,1.0
Peanut butter,Other,pc,0,1.0
Jam,Other,pc,0,1.0
Tomato Paste,Other,pc,0,1.0
Cocoa Powder,Other,pc,0,1.0
Restaurant Napkin,Other,pc,10,5.0
Kitchen Napkin,Other,pc,4,2.0
Restaurant coffee,Other,pc,0,1.0
White Vinegar,Other,pc,0,1.0
Baking powder,Other,pc,10,3.0
Yeast,Other,pc,0,1.0
Bread Improver,Other,pc,0,1.0
Oats,Other,pc,0,1.0
Olive oil,Other,pc,0,1.0
Salt,Other,pc,10,3.0
Spaghetti,Other,pc,10,3.0
Macaroni,Other,pc,0,1.0
Rice,Other,pc,0,1.0
Honey,Other,pc,10,3.0
Matches,Other,pc,0,1.0
Oil,Other,pc,0,1.0
Plastic Foil,Other,pc,0,1.0
Aluminum Foil,Other,pc,0,1.0
Sugar,Dry Goods,kg,50,10.0
Vanilla,Other,pc,10,3.0
Baking soda,Other,pc,0,1.0
Dish Wash,Other,pc,5,2.0
Bleach,Other,pc,5,2.0
Sponge,Other,pc,5,2.0
Shebo,Other,pc,10,3.0
