recipe_name,ingredient,quantity,unit
Veg or tomato/Pumpkin/,Celery,50.0,g
Veg or tomato/Pumpkin/,Leek,50.0,g
Veg or tomato/Pumpkin/,Onion,100.0,g
Veg or tomato/Pumpkin/,Carrot,300.0,g
Veg or tomato/Pumpkin/,White cabbage,100.0,g
Veg or tomato/Pumpkin/,Green beans,100.0,g
Veg or tomato/Pumpkin/,Zucchini,300.0,g
Veg or tomato/Pumpkin/,Garlic,20.0,g
Veg or tomato/Pumpkin/,Tomato pest,10.0,g
Veg or tomato/Pumpkin/,Knor,1.0,pc
Veg or tomato/Pumpkin/,Black pepper,2.0,g
Pumpkin soup,Celery,50.0,g
Pumpkin soup,Leek,50.0,g
Pumpkin soup,Onion,100.0,g
Pumpkin soup,Pumpkin,500.0,g
Pumpkin soup,Oil,30.0,ml
Pumpkin soup,Knor,1.0,pc
Pumpkin soup,Black pepper,2.0,g
Pumpkin soup,Garlic,20.0,g
Pumpkin soup,Ginger,20.0,g
Tomato soup,Tomato,500.0,g
Tomato soup,Celery,50.0,g
Tomato soup,Leek,50.0,g
Tomato soup,Onion,100.0,g
Tomato soup,Garlic,20.0,g
Tomato soup,Oil,30.0,g
Tomato soup,Tomato pest,20.0,g
Tomato soup,Black pepper,20.0,g
Tomato soup,Knor,1.0,pc
Carrot soup,Celery,50.0,g
Carrot soup,Leek,50.0,g
Carrot soup,Onion,100.0,g
Carrot soup,Garlic,20.0,g
Carrot soup,Oil,30.0,ml
Carrot soup,Carrot,200.0,g
Carrot soup,Knor,1.0,pc
Carrot soup,Black pepper,20.0,g
Carrot soup,Lemon grass,1.0,pc
Lentil Soup,Celery,50.0,g
Lentil Soup,Leek,50.0,g
Lentil Soup,Onion,100.0,g
Lentil Soup,Garlic,20.0,g
Lentil Soup,Ginger,20.0,g
Lentil Soup,Lentil,300.0,g
Lentil Soup,Oil,30.0,g
Lentil Soup,Knor,1.0,pc
Lentil Soup,Black pepper,2.0,g
Lentil Soup,Lemon grass,1.0,pc
Chicken soup,Leek,50.0,g
Chicken soup,Onion,100.0,g
Chicken soup,Garlic,20.0,g
Chicken soup,Carrot,100.0,g
